Sample	SampleID	ID	Switch	Switch_lat	Host1	Host2	Time	Replicate	BioRep	Group
EE_tworep1	EE_tworep1	5	EE	UgUg	E	E	2	1	1	E.E.2.1
EE_tworep3	EE_tworep2	6	EE	UgUg	E	E	2	3	2	E.E.2.2
EE_tworep5	EE_tworep3	7	EE	UgUg	E	E	2	5	3	E.E.2.3
EE_tworep7	EE_tworep4	8	EE	UgUg	E	E	2	7	4	E.E.2.4
EN_tworep3	EN_tworep2	14	EN	UgUd	E	N	2	3	2	E.N.2.2
EN_tworep5	EN_tworep3	15	EN	UgUd	E	N	2	5	3	E.N.2.3
EN_tworep7	EN_tworep4	16	EN	UgUd	E	N	2	7	4	E.N.2.4
ES_tworep1	ES_tworep1	21	ES	UgSc	E	S	2	1	1	E.S.2.1
ES_tworep3	ES_tworep2	22	ES	UgSc	E	S	2	3	2	E.S.2.2
ES_tworep5	ES_tworep3	23	ES	UgSc	E	S	2	5	3	E.S.2.3
NE_tworep1	NE_tworep1	29	NE	UdUg	N	E	2	1	1	N.E.2.1
NE_tworep3	NE_tworep2	30	NE	UdUg	N	E	2	3	2	N.E.2.2
NE_tworep5	NE_tworep3	31	NE	UdUg	N	E	2	5	3	N.E.2.3
NE_tworep7	NE_tworep4	32	NE	UdUg	N	E	2	7	4	N.E.2.4
NN_tworep1	NN_tworep1	37	NN	UdUd	N	N	2	1	1	N.N.2.1
NN_tworep3	NN_tworep2	38	NN	UdUd	N	N	2	3	2	N.N.2.2
NN_tworep5	NN_tworep3	39	NN	UdUd	N	N	2	5	3	N.N.2.3
NN_tworep7	NN_tworep4	40	NN	UdUd	N	N	2	7	4	N.N.2.4
NS_tworep1	NS_tworep1	45	NS	UdSc	N	S	2	1	1	N.S.2.1
NS_tworep3	NS_tworep2	46	NS	UdSc	N	S	2	3	2	N.S.2.2
NS_tworep5	NS_tworep3	47	NS	UdSc	N	S	2	5	3	N.S.2.3
NS_tworep7	NS_tworep4	48	NS	UdSc	N	S	2	7	4	N.S.2.4
SE_tworep1	SE_tworep1	53	SE	ScUg	S	E	2	1	1	S.E.2.1
SE_tworep3	SE_tworep2	54	SE	ScUg	S	E	2	3	2	S.E.2.2
SE_tworep5	SE_tworep3	55	SE	ScUg	S	E	2	5	3	S.E.2.3
SE_tworep7	SE_tworep4	56	SE	ScUg	S	E	2	7	4	S.E.2.4
SN_tworep1	SN_tworep1	61	SN	ScUd	S	N	2	1	1	S.N.2.1
SN_tworep3	SN_tworep2	62	SN	ScUd	S	N	2	3	2	S.N.2.2
SN_tworep5	SN_tworep3	63	SN	ScUd	S	N	2	5	3	S.N.2.3
SN_tworep7	SN_tworep4	64	SN	ScUd	S	N	2	7	4	S.N.2.4
SS_tworep1	SS_tworep1	69	SS	ScSc	S	S	2	1	1	S.S.2.1
SS_tworep3	SS_tworep2	70	SS	ScSc	S	S	2	3	2	S.S.2.2
SS_tworep5	SS_tworep3	71	SS	ScSc	S	S	2	5	3	S.S.2.3
SS_tworep7	SS_tworep4	72	SS	ScSc	S	S	2	7	4	S.S.2.4
