Sample,ID,Switch,Switch_lat,Switch_lat_short,Host1,Host1_lat,Host1_1,Host2,Host2_lat,Host2_2,Rel,Time,BioRep,Family,Treatment
GG_seventeenrep_1.1,GG_seventeenrep_1,GG,RuRu,RR,G,R,G1,G,R,G2,same,17,1,1,C
GG_seventeenrep_1.2,GG_seventeenrep_1,GG,RuRu,RR,G,R,G1,G,R,G2,same,17,2,1,C
GG_seventeenrep_2.1,GG_seventeenrep_2,GG,RuRu,RR,G,R,G1,G,R,G2,same,17,1,2,C
GG_seventeenrep_2.2,GG_seventeenrep_2,GG,RuRu,RR,G,R,G1,G,R,G2,same,17,2,2,C
GG_tworep_1.1,GG_tworep_1,GG,RuRu,RR,G,R,G1,G,R,G2,same,2,1,1,C
GG_tworep_1.2,GG_tworep_1,GG,RuRu,RR,G,R,G1,G,R,G2,same,2,2,1,C
GG_tworep_2.1,GG_tworep_2,GG,RuRu,RR,G,R,G1,G,R,G2,same,2,1,2,C
GG_tworep_2.2,GG_tworep_2,GG,RuRu,RR,G,R,G1,G,R,G2,same,2,2,2,C
GN_seventeenrep_1.1,GN_seventeenrep_1,GN,RuUd,RU,G,R,G1,N,U,N2,new,17,1,1,S
GN_seventeenrep_1.2,GN_seventeenrep_1,GN,RuUd,RU,G,R,G1,N,U,N2,new,17,2,1,S
GN_seventeenrep_2.1,GN_seventeenrep_2,GN,RuUd,RU,G,R,G1,N,U,N2,new,17,1,2,S
GN_seventeenrep_2.2,GN_seventeenrep_2,GN,RuUd,RU,G,R,G1,N,U,N2,new,17,2,2,S
GN_tworep_1.1,GN_tworep_1,GN,RuUd,RU,G,R,G1,N,U,N2,new,2,1,1,S
GN_tworep_1.2,GN_tworep_1,GN,RuUd,RU,G,R,G1,N,U,N2,new,2,2,1,S
GN_tworep_2.1,GN_tworep_2,GN,RuUd,RU,G,R,G1,N,U,N2,new,2,1,2,S
GN_tworep_2.2,GN_tworep_2,GN,RuUd,RU,G,R,G1,N,U,N2,new,2,2,2,S
GS_seventeenrep_1.1,GS_seventeenrep_1,GS,RuSc,RS,G,R,G1,S,S,S2,new,17,1,1,S
GS_seventeenrep_1.2,GS_seventeenrep_1,GS,RuSc,RS,G,R,G1,S,S,S2,new,17,2,1,S
GS_seventeenrep_2.1,GS_seventeenrep_2,GS,RuSc,RS,G,R,G1,S,S,S2,new,17,1,2,S
GS_seventeenrep_2.2,GS_seventeenrep_2,GS,RuSc,RS,G,R,G1,S,S,S2,new,17,2,2,S
GS_tworep_1.1,GS_tworep_1,GS,RuSc,RS,G,R,G1,S,S,S2,new,2,1,1,S
GS_tworep_1.2,GS_tworep_1,GS,RuSc,RS,G,R,G1,S,S,S2,new,2,2,1,S
