Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NN 1.2	1	1	N	U	N	U	0.218	1	i																										
NN 1.2	1	2	N	U	N	U	0.364	1	i																										
NN 1.2	1	3	N	U	N	U	0.73	1	i																										
NN 1.2	1	4	N	U	N	U	1.451	1	i																										
NN 1.2	1	5	N	U	N	U	NA	2	i																										
NN 1.2	1	6	N	U	N	U	1.456	2	i																										
NN 1.2	1	7	N	U	N	U	3.139	2	i																										
NN 1.2	1	8	N	U	N	U	6.097	2	i																										
NN 1.2	1	9	N	U	N	U	6.137	2	i																										
NN 1.2	1	10	N	U	N	U	12.459	3	i																										
NN 1.2	1	11	N	U	N	U	23.014	3	i																										
NN 1.2	1	12	N	U	N	U	21.762	3	i																										
NN 1.2	1	13	N	U	N	U	NA		i																										
NN 1.2	1	14	N	U	N	U	61.76	4	i																										
NN 1.2	1	15	N	U	N	U	89.534	4	i																										
NN 1.2	1	16	N	U	N	U	84.843	5	i5																										
NN 1.2	1	17	N	U	N	U	119.47	5	as																										
NN 1.2	1	18	N	U	N	U	187.05	5	as																										
NN 1.2	1	19	N	U	N	U	279.682	5	as																										
NN 1.2	1	20	N	U	N	U	NA	5	as																										
NN 1.2	1	21	N	U	N	U	361	5	as																										
NN 1.2	1	22	N	U	N	U	NA	5	as																										
NN 1.2	1	23	N	U	N	U	NA	5	as																										
NN 1.2	1	P	N	U	N	U	281	P	P																										
NN 1.3	1	1	N	U	N	U	0.202	i	i																										
NN 1.3	1	2	N	U	N	U	0.41	i	i																										
NN 1.3	1	3	N	U	N	U	NA	i	i																										
NN 1.3	1	4	N	U	N	U	0.693	i	i																										
NN 1.3	1	5	N	U	N	U	1.31	i	i																										
NN 1.3	1	6	N	U	N	U	1.375	i	i																										
NN 1.3	1	7	N	U	N	U	2.689	i	i																										
NN 1.3	1	8	N	U	N	U	5.373	i	i																										
NN 1.3	1	9	N	U	N	U	5.23	i	i																										
NN 1.3	1	10	N	U	N	U	9.788	i	i																										
NN 1.3	1	11	N	U	N	U	NA	i	i																										
NN 1.3	1	12	N	U	N	U	NA	i	i																										
NN 1.3	1	13	N	U	N	U	19.948	i	i																										
NN 1.3	1	14	N	U	N	U	78.971	i	i																										
NN 1.3	1	15	N	U	N	U	91.984	i	i																										
NN 1.3	1	16	N	U	N	U	83.85	5	i5																										
NN 1.3	1	17	N	U	N	U	89.82	5	as																										
NN 1.3	1	18	N	U	N	U	NA	5	as																										
NN 1.3	1	19	N	U	N	U	244	5	as																										
NN 1.3	1	20	N	U	N	U	NA	5	as																										
NN 1.3	1	21	N	U	N	U	NA	5	as																										
NN 1.3	1	22	N	U	N	U	352	5	as																										
NN 1.3	1	P	N	U	N	U	295	P	P																										
NN 2.1	2	1	N	U	N	U	0.220	i	i																										
NN 2.1	2	2	N	U	N	U	0.298	i	i																										
NN 2.1	2	3	N	U	N	U	0.705	i	i																										
NN 2.1	2	4	N	U	N	U	1.301	i	i																										
NN 2.1	2	5	N	U	N	U	NA	i	i																										
NN 2.1	2	6	N	U	N	U	1.34	i	i																										
NN 2.1	2	7	N	U	N	U	3.533	i	i																										
NN 2.1	2	8	N	U	N	U	5.733	i	i																										
NN 2.1	2	9	N	U	N	U	5.383	i	i																										
NN 2.1	2	10	N	U	N	U	9.086	i	i																										
NN 2.1	2	11	N	U	N	U	18.981	i	i																										
NN 2.1	2	12	N	U	N	U	21.521	i	i																										
NN 2.1	2	13	N	U	N	U	NA	i	i																										
NN 2.1	2	14	N	U	N	U	56.813	i	i																										
NN 2.1	2	15	N	U	N	U	92.288	i	i																										
NN 2.1	2	16	N	U	N	U	114.83	5	i5																										
NN 2.1	2	17	N	U	N	U	110.213	5	as																										
NN 2.1	2	18	N	U	N	U	193.6	5	as																										
NN 2.1	2	19	N	U	N	U	299.484	5	as																										
NN 2.1	2	20	N	U	N	U	NA	5	as																										
NN 2.1	2	21	N	U	N	U	415	5	as																										
NN 2.1	2	22	N	U	N	U	NA	5	as																										
NN 2.1	2	23	N	U	N	U	NA	5	as																										
NN 2.1	2	P	N	U	N	U	314	P	P																										
NN 2.2	2	1	N	U	N	U	0.227	i	i																										
NN 2.2	2	2	N	U	N	U	0.381	i	i																										
NN 2.2	2	3	N	U	N	U	0.894	i	i																										
NN 2.2	2	4	N	U	N	U	NA	i	i																										
NN 2.2	2	5	N	U	N	U	1.143	i	i																										
NN 2.2	2	6	N	U	N	U	2.333	i	i																										
NN 2.2	2	7	N	U	N	U	3.496	i	i																										
NN 2.2	2	8	N	U	N	U	4.372	i	i																										
NN 2.2	2	9	N	U	N	U	4.21	i	i																										
NN 2.2	2	10	N	U	N	U	7.422	i	i																										
NN 2.2	2	11	N	U	N	U	16.561	i	i																										
NN 2.2	2	12	N	U	N	U	NA	i	i																										
NN 2.2	2	13	N	U	N	U	26.044	i	i																										
NN 2.2	2	14	N	U	N	U	43.681	i	i																										
NN 2.2	2	15	N	U	N	U	NA	i	i																										
NN 2.2	2	16	N	U	N	U	89.535	i	i																										
NN 2.2	2	17	N	U	N	U	80.811	5	i5																										
NN 2.2	2	18	N	U	N	U	159.275	5	as																										
NN 2.2	2	19	N	U	N	U	NA	5	as																										
NN 2.2	2	20	N	U	N	U	336	5	as																										
NN 2.2	2	21	N	U	N	U	NA	5	as																										
NN 2.2	2	22	N	U	N	U	NA	5	as																										
NN 2.2	2	P	N	U	N	U	301	P	P																										
NN3.3	3	1	N	U	N	U	0.205	i	i																										
NN3.3	3	2	N	U	N	U	0.466	i	i																										
NN3.3	3	3	N	U	N	U	0.592	i	i																										
NN3.3	3	4	N	U	N	U	NA	i	i																										
NN3.3	3	5	N	U	N	U	NA	i	i																										
NN3.3	3	6	N	U	N	U	2.052	i	i																										
NN3.3	3	7	N	U	N	U	NA	i	i																										
NN3.3	3	8	N	U	N	U	5.886	i	i																										
NN3.3	3	9	N	U	N	U	NA	i	i																										
NN3.3	3	10	N	U	N	U	8.559	i	i																										
NN3.3	3	11	N	U	N	U	26.782	i	i																										
NN3.3	3	12	N	U	N	U	NA	i	i																										
NN3.3	3	13	N	U	N	U	NA	i	i																										
NN3.3	3	14	N	U	N	U	NA	i	i																										
NN3.3	3	15	N	U	N	U	78.865	i	i																										
NN3.3	3	16	N	U	N	U	NA	5	i5																										
NN3.3	3	17	N	U	N	U	NA	5	as																										
NN3.3	3	18	N	U	N	U	126.194	5	as																										
NN3.3	3	19	N	U	N	U	NA	5	as																										
NN3.3	3	20	N	U	N	U	NA	5	as																										
NN3.3	3	21	N	U	N	U	372.868	5	as																										
NN3.3	3	22	N	U	N	U	NA	5	as																										
NN3.3	3	23	N	U	N	U	320.121	5	as																										
NN3.3	3	P	N	U	N	U	292.289	P	P																										
NN 4.1	4	1	N	U	N	U	0.199	i	i																										
NN 4.1	4	2	N	U	N	U	NA	i	i																										
NN 4.1	4	3	N	U	N	U	NA	i	i																										
NN 4.1	4	4	N	U	N	U	1.189	i	i																										
NN 4.1	4	5	N	U	N	U	NA	i	i																										
