Sample	SampleID	ID	Switch	Switch_lat	Host1	Host2	Time	Replicate	BioRep	Group	Name
EE_seventeenrep1	EE_seventeenrep1	1	EE	UgUg	E	E	17	1	1	E.E.17.1	E.E
EE_seventeenrep3	EE_seventeenrep2	2	EE	UgUg	E	E	17	3	2	E.E.17.2	E.E
EE_seventeenrep5	EE_seventeenrep3	3	EE	UgUg	E	E	17	5	3	E.E.17.3	E.E
EE_seventeenrep7	EE_seventeenrep4	4	EE	UgUg	E	E	17	7	4	E.E.17.4	E.E
EN_seventeenrep1	EN_seventeenrep1	9	EN	UgUd	E	N	17	1	1	E.N.17.1	E.N
EN_seventeenrep3	EN_seventeenrep2	10	EN	UgUd	E	N	17	3	2	E.N.17.2	E.N
EN_seventeenrep5	EN_seventeenrep3	11	EN	UgUd	E	N	17	5	3	E.N.17.3	E.N
EN_seventeenrep7	EN_seventeenrep4	12	EN	UgUd	E	N	17	7	4	E.N.17.4	E.N
ES_seventeenrep1	ES_seventeenrep1	17	ES	UgSc	E	S	17	1	1	E.S.17.1	E.S
ES_seventeenrep3	ES_seventeenrep2	18	ES	UgSc	E	S	17	3	2	E.S.17.2	E.S
ES_seventeenrep5	ES_seventeenrep3	19	ES	UgSc	E	S	17	5	3	E.S.17.3	E.S
ES_seventeenrep7	ES_seventeenrep4	20	ES	UgSc	E	S	17	7	4	E.S.17.4	E.S
NE_seventeenrep1	NE_seventeenrep1	25	NE	UdUg	N	E	17	1	1	N.E.17.1	N.E
NE_seventeenrep3	NE_seventeenrep2	26	NE	UdUg	N	E	17	3	2	N.E.17.2	N.E
NE_seventeenrep5	NE_seventeenrep3	27	NE	UdUg	N	E	17	5	3	N.E.17.3	N.E
NE_seventeenrep7	NE_seventeenrep4	28	NE	UdUg	N	E	17	7	4	N.E.17.4	N.E
NN_seventeenrep1	NN_seventeenrep1	33	NN	UdUd	N	N	17	1	1	N.N.17.1	N.N
NN_seventeenrep3	NN_seventeenrep2	34	NN	UdUd	N	N	17	3	2	N.N.17.2	N.N
NN_seventeenrep5	NN_seventeenrep3	35	NN	UdUd	N	N	17	5	3	N.N.17.3	N.N
NN_seventeenrep7	NN_seventeenrep4	36	NN	UdUd	N	N	17	7	4	N.N.17.4	N.N
NS_seventeenrep3	NS_seventeenrep2	42	NS	UdSc	N	S	17	3	2	N.S.17.2	N.S
NS_seventeenrep5	NS_seventeenrep3	43	NS	UdSc	N	S	17	5	3	N.S.17.3	N.S
NS_seventeenrep7	NS_seventeenrep4	44	NS	UdSc	N	S	17	7	4	N.S.17.4	N.S
SE_seventeenrep1	SE_seventeenrep1	49	SE	ScUg	S	E	17	1	1	S.E.17.1	S.E
SE_seventeenrep3	SE_seventeenrep2	50	SE	ScUg	S	E	17	3	2	S.E.17.2	S.E
SE_seventeenrep5	SE_seventeenrep3	51	SE	ScUg	S	E	17	5	3	S.E.17.3	S.E
SE_seventeenrep7	SE_seventeenrep4	52	SE	ScUg	S	E	17	7	4	S.E.17.4	S.E
SN_seventeenrep1	SN_seventeenrep1	57	SN	ScUd	S	N	17	1	1	S.N.17.1	S.N
SN_seventeenrep3	SN_seventeenrep2	58	SN	ScUd	S	N	17	3	2	S.N.17.2	S.N
SN_seventeenrep5	SN_seventeenrep3	59	SN	ScUd	S	N	17	5	3	S.N.17.3	S.N
SN_seventeenrep7	SN_seventeenrep4	60	SN	ScUd	S	N	17	7	4	S.N.17.4	S.N
SS_seventeenrep1	SS_seventeenrep1	65	SS	ScSc	S	S	17	1	1	S.S.17.1	S.S
SS_seventeenrep3	SS_seventeenrep2	66	SS	ScSc	S	S	17	3	2	S.S.17.2	S.S
SS_seventeenrep5	SS_seventeenrep3	67	SS	ScSc	S	S	17	5	3	S.S.17.3	S.S
SS_seventeenrep7	SS_seventeenrep4	68	SS	ScSc	S	S	17	7	4	S.S.17.4	S.S
