Sample,SampleID,ID,Switch,Host1,Host2,Time,Rel,Replicate,BioRep
EE_seventeenrep1,EE_seventeenrep1,1,EE,E,E,17,same,1,1
EE_seventeenrep2,EE_seventeenrep1,1,EE,E,E,17,same,2,1
EE_seventeenrep3,EE_seventeenrep2,2,EE,E,E,17,same,3,2
EE_seventeenrep4,EE_seventeenrep2,2,EE,E,E,17,same,4,2
EE_seventeenrep5,EE_seventeenrep3,3,EE,E,E,17,same,5,3
EE_seventeenrep6,EE_seventeenrep3,3,EE,E,E,17,same,6,3
EE_seventeenrep7,EE_seventeenrep4,4,EE,E,E,17,same,7,4
EE_seventeenrep8,EE_seventeenrep4,4,EE,E,E,17,same,8,4
EE_tworep1,EE_tworep1,5,EE,E,E,2,same,1,1
EE_tworep2,EE_tworep1,5,EE,E,E,2,same,2,1
EE_tworep3,EE_tworep2,6,EE,E,E,2,same,3,2
EE_tworep4,EE_tworep2,6,EE,E,E,2,same,4,2
EE_tworep5,EE_tworep3,7,EE,E,E,2,same,5,3
EE_tworep6,EE_tworep3,7,EE,E,E,2,same,6,3
EE_tworep7,EE_tworep4,8,EE,E,E,2,same,7,4
EE_tworep8,EE_tworep4,8,EE,E,E,2,same,8,4
EN_seventeenrep1,EN_seventeenrep1,9,EN,E,N,17,new,1,1
EN_seventeenrep2,EN_seventeenrep1,9,EN,E,N,17,new,2,1
EN_seventeenrep3,EN_seventeenrep2,10,EN,E,N,17,new,3,2
EN_seventeenrep4,EN_seventeenrep2,10,EN,E,N,17,new,4,2
EN_seventeenrep5,EN_seventeenrep3,11,EN,E,N,17,new,5,3
EN_seventeenrep6,EN_seventeenrep3,11,EN,E,N,17,new,6,3
EN_seventeenrep7,EN_seventeenrep4,12,EN,E,N,17,new,7,4
EN_seventeenrep8,EN_seventeenrep4,12,EN,E,N,17,new,8,4
EN_tworep1,EN_tworep1,13,EN,E,N,2,new,1,1
EN_tworep2,EN_tworep1,13,EN,E,N,2,new,2,1
EN_tworep3,EN_tworep2,14,EN,E,N,2,new,3,2
EN_tworep4,EN_tworep2,14,EN,E,N,2,new,4,2
EN_tworep5,EN_tworep3,15,EN,E,N,2,new,5,3
