file_1_file_1_g3794	ko:K06767
file_1_file_1_g3795	-
file_1_file_1_g3797	-
file_1_file_1_g3799	ko:K06767,ko:K06768
file_1_file_1_g3800	ko:K06768
file_1_file_1_g3804	ko:K00387
file_1_file_1_g3805	ko:K01280
file_1_file_1_g3806	ko:K13728
file_1_file_1_g3807	ko:K01280
file_1_file_1_g3808	-
file_1_file_1_g3809	-
file_1_file_1_g3810	-
file_1_file_1_g3811	-
file_1_file_1_g3812	ko:K09542
file_1_file_1_g3813	ko:K08469
file_1_file_1_g3814	-
file_1_file_1_g3817	-
file_1_file_1_g3818	ko:K09542
file_1_file_1_g3819	ko:K09541,ko:K09542
file_1_file_1_g3820	ko:K01229,ko:K05350
file_1_file_1_g3821	ko:K14689,ko:K14690,ko:K14695
file_1_file_1_g3823	ko:K00274
file_1_file_1_g3825	-
file_1_file_1_g3826	-
file_1_file_1_g3827	ko:K10393
file_1_file_1_g3830	-
file_1_file_1_g3831	ko:K11323
file_1_file_1_g3832	ko:K02264
file_1_file_1_g3833	ko:K11831
file_1_file_1_g3834	ko:K06134
file_1_file_1_g3835	ko:K01691
file_1_file_1_g3836	ko:K06550,ko:K06756,ko:K06757,ko:K06758,ko:K06760
file_1_file_1_g3837	-
file_1_file_1_g3838	-
file_1_file_1_g3839	ko:K21989
file_1_file_1_g3840	ko:K13250
file_1_file_1_g3841	ko:K10481,ko:K11578
file_1_file_1_g3842	-
file_1_file_1_g3843	ko:K15170
file_1_file_1_g3845	-
file_1_file_1_g3847	ko:K07378
file_1_file_1_g3848	-
file_1_file_1_g3849	-
file_1_file_1_g3850	-
file_1_file_1_g3851	ko:K20174
file_1_file_1_g3852	ko:K20174
file_1_file_1_g3853	-
file_1_file_1_g3854	-
file_1_file_1_g3857	-
file_1_file_1_g3858	ko:K08967
file_1_file_1_g3859	ko:K14394
file_1_file_1_g3861	ko:K00933,ko:K00934
file_1_file_1_g3862	ko:K11656
file_1_file_1_g3863	-
file_1_file_1_g3864	ko:K10706,ko:K12597,ko:K15271
file_1_file_1_g3865	ko:K00504,ko:K12597,ko:K18200
file_1_file_1_g3866	-
file_1_file_1_g3867	ko:K08098
file_1_file_1_g3868	ko:K11407
file_1_file_1_g3869	ko:K01410
file_1_file_1_g3870	ko:K00558,ko:K10609
file_1_file_1_g3871	ko:K09866
file_1_file_1_g3872	-
file_1_file_1_g3873	ko:K07893,ko:K07894,ko:K07895
file_1_file_1_g3874	-
file_1_file_1_g3875	ko:K04439,ko:K13801
file_1_file_1_g3877	ko:K12842
file_1_file_1_g3878	ko:K10395
file_1_file_1_g3879	ko:K10395
file_1_file_1_g3881	-
file_1_file_1_g3882	ko:K16673
file_1_file_1_g3885	-
file_1_file_1_g3886	ko:K13355
file_1_file_1_g3887	ko:K08835
file_1_file_1_g3889	-
file_1_file_1_g3890	ko:K03231
file_1_file_1_g3891	ko:K18532
file_1_file_1_g3892	ko:K08056
