file_1_file_1_g3794	Fibronectin type 3 domain	-
file_1_file_1_g3795	biological adhesion	-
file_1_file_1_g3797	biological adhesion	-
file_1_file_1_g3799	Fibronectin type 3 domain	-
file_1_file_1_g3800	Fibronectin type 3 domain	-
file_1_file_1_g3804	Mo-co oxidoreductase dimerisation domain	SUOX
file_1_file_1_g3805	Tripeptidyl peptidase II	TPP2
file_1_file_1_g3806	Mitotic spindle assembly checkpoint protein	MAD2L2
file_1_file_1_g3807	Tripeptidyl peptidase II	TPP2
file_1_file_1_g3808	-	-
file_1_file_1_g3809	Hsp20/alpha crystallin family	-
file_1_file_1_g3810	Domain of unknown function (DUF4485)	-
file_1_file_1_g3811	Reverse transcriptase (RNA-dependent DNA polymerase)	-
file_1_file_1_g3812	Hsp20/alpha crystallin family	-
file_1_file_1_g3813	7 transmembrane sweet-taste receptor of 3 GCPR	-
file_1_file_1_g3814	transposition	-
file_1_file_1_g3817	-	-
file_1_file_1_g3818	structural constituent of eye lens	-
file_1_file_1_g3819	Hsp20/alpha crystallin family	-
file_1_file_1_g3820	Glycosyl hydrolase family 1	LCT
file_1_file_1_g3821	Cation efflux family	SLC30A2
file_1_file_1_g3823	Flavin containing amine oxidoreductase	MAOB
file_1_file_1_g3825	Domain of unknown function (DUF4149)	TMEM205
file_1_file_1_g3826	Fic/DOC family	FICD
file_1_file_1_g3827	Microtubule binding	KIF2A
file_1_file_1_g3830	microtubule motor activity	-
file_1_file_1_g3831	Cupin-like domain	JMJD6
file_1_file_1_g3832	Cytochrome c oxidase subunit Va	COX5A
file_1_file_1_g3833	Nrf1 activator activation site binding domain	NRF1
file_1_file_1_g3834	Ubiquinone biosynthesis protein COQ7	COQ7
file_1_file_1_g3835	WIF domain	WIF1
file_1_file_1_g3836	Bravo-like intracellular region	CHL1
file_1_file_1_g3837	-	-
file_1_file_1_g3838	SLED domain	SFMBT1
file_1_file_1_g3839	Cytosolic domain of 10TM putative phosphate transporter	TMEM63C
file_1_file_1_g3840	Translocon-associated protein beta (TRAPB)	SSR2
file_1_file_1_g3841	Centromere/kinetochore Zw10	ZW10
file_1_file_1_g3842	Regulator of chromosome condensation (RCC1) repeat	WBSCR16
file_1_file_1_g3843	Mediator complex subunit 27	MED27
file_1_file_1_g3845	Enoyl-(Acyl carrier protein) reductase	-
file_1_file_1_g3847	alpha/beta hydrolase fold	Gli
file_1_file_1_g3848	Ethylene-responsive protein kinase Le-CTR1	ARMC3
file_1_file_1_g3849	short chain dehydrogenase	-
file_1_file_1_g3850	Zinc-finger associated domain (zf-AD)	-
file_1_file_1_g3851	Ankyrin repeats (many copies)	OSBPL1A
file_1_file_1_g3852	Oxysterol-binding protein	OSBPL1A
file_1_file_1_g3853	Enoyl-(Acyl carrier protein) reductase	-
file_1_file_1_g3854	EF-hand domain pair	EFCAB1
file_1_file_1_g3857	-	-
file_1_file_1_g3858	Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5- methylthiopentene (DHK-MTPene)	ADI1
file_1_file_1_g3859	Low molecular weight phosphatase family	primo-1
file_1_file_1_g3861	ATP:guanido phosphotransferase, C-terminal catalytic domain	F46H5.3
file_1_file_1_g3862	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	CHRAC1
file_1_file_1_g3863	-	-
file_1_file_1_g3864	zinc ion binding	-
file_1_file_1_g3865	It is involved in the biological process described with peptide metabolic process	-
file_1_file_1_g3866	Methyltransferase domain	RRNAD1
file_1_file_1_g3867	Alg9-like mannosyltransferase family	PIGZ
file_1_file_1_g3868	Histone deacetylase domain	hda-6
file_1_file_1_g3869	Peptidase family M3	MIPEP
file_1_file_1_g3870	Cullin protein neddylation domain	CUL4A
file_1_file_1_g3871	Major intrinsic protein	bib
file_1_file_1_g3872	Belongs to the MIP aquaporin (TC 1.A.8) family	bib
file_1_file_1_g3873	Rab subfamily of small GTPases	RAB6B
file_1_file_1_g3874	RDD family	FAM8A1
